Category: All categories

Week,fear: (Ontario)
2018-01-07,38
2018-01-14,38
2018-01-21,35
2018-01-28,35
2018-02-04,35
2018-02-11,36
2018-02-18,33
2018-02-25,34
2018-03-04,37
2018-03-11,33
2018-03-18,39
2018-03-25,41
2018-04-01,43
2018-04-08,39
2018-04-15,53
2018-04-22,51
2018-04-29,54
2018-05-06,47
2018-05-13,41
2018-05-20,48
2018-05-27,45
2018-06-03,42
2018-06-10,49
2018-06-17,34
2018-06-24,30
2018-07-01,26
2018-07-08,35
2018-07-15,36
2018-07-22,40
2018-07-29,40
2018-08-05,38
2018-08-12,40
2018-08-19,39
2018-08-26,37
2018-09-02,49
2018-09-09,61
2018-09-16,55
2018-09-23,53
2018-09-30,50
2018-10-07,51
2018-10-14,53
2018-10-21,46
2018-10-28,43
2018-11-04,45
2018-11-11,46
2018-11-18,35
2018-11-25,41
2018-12-02,39
2018-12-09,45
2018-12-16,37
2018-12-23,30
2018-12-30,30
2019-01-06,37
2019-01-13,42
2019-01-20,32
2019-01-27,33
2019-02-03,33
2019-02-10,36
2019-02-17,40
2019-02-24,34
2019-03-03,34
2019-03-10,29
2019-03-17,32
2019-03-24,39
2019-03-31,42
2019-04-07,34
2019-04-14,34
2019-04-21,38
2019-04-28,33
2019-05-05,35
2019-05-12,36
2019-05-19,43
2019-05-26,42
2019-06-02,44
2019-06-09,36
2019-06-16,32
2019-06-23,34
2019-06-30,32
2019-07-07,36
2019-07-14,39
2019-07-21,32
2019-07-28,38
2019-08-04,46
2019-08-11,36
2019-08-18,40
2019-08-25,54
2019-09-01,44
2019-09-08,42
2019-09-15,43
2019-09-22,46
2019-09-29,51
2019-10-06,48
2019-10-13,50
2019-10-20,50
2019-10-27,53
2019-11-03,42
2019-11-10,35
2019-11-17,36
2019-11-24,40
2019-12-01,36
2019-12-08,33
2019-12-15,35
2019-12-22,29
2019-12-29,30
2020-01-05,36
2020-01-12,36
2020-01-19,35
2020-01-26,35
2020-02-02,32
2020-02-09,33
2020-02-16,35
2020-02-23,34
2020-03-01,41
2020-03-08,47
2020-03-15,50
2020-03-22,47
2020-03-29,43
2020-04-05,41
2020-04-12,42
2020-04-19,43
2020-04-26,43
2020-05-03,37
2020-05-10,41
2020-05-17,40
2020-05-24,36
2020-05-31,38
2020-06-07,41
2020-06-14,35
2020-06-21,34
2020-06-28,36
2020-07-05,30
2020-07-12,37
2020-07-19,36
2020-07-26,38
2020-08-02,36
2020-08-09,30
2020-08-16,36
2020-08-23,35
2020-08-30,30
2020-09-06,34
2020-09-13,35
2020-09-20,38
2020-09-27,37
2020-10-04,41
2020-10-11,44
2020-10-18,44
2020-10-25,46
2020-11-01,36
2020-11-08,40
2020-11-15,38
2020-11-22,36
2020-11-29,37
2020-12-06,32
2020-12-13,32
2020-12-20,29
2020-12-27,37
2021-01-03,32
2021-01-10,37
2021-01-17,34
2021-01-24,35
2021-01-31,35
2021-02-07,34
2021-02-14,35
2021-02-21,34
2021-02-28,31
2021-03-07,32
2021-03-14,32
2021-03-21,35
2021-03-28,34
2021-04-04,36
2021-04-11,39
2021-04-18,36
2021-04-25,39
2021-05-02,35
2021-05-09,40
2021-05-16,39
2021-05-23,34
2021-05-30,38
2021-06-06,39
2021-06-13,37
2021-06-20,31
2021-06-27,41
2021-07-04,79
2021-07-11,100
2021-07-18,85
2021-07-25,57
2021-08-01,59
2021-08-08,56
2021-08-15,47
2021-08-22,45
2021-08-29,43
2021-09-05,42
2021-09-12,46
2021-09-19,39
2021-09-26,44
2021-10-03,54
2021-10-10,56
2021-10-17,59
2021-10-24,55
2021-10-31,45
2021-11-07,34
2021-11-14,34
2021-11-21,33
2021-11-28,36
2021-12-05,36
2021-12-12,36
2021-12-19,31
2021-12-26,31
2022-01-02,37
2022-01-09,43
2022-01-16,42
2022-01-23,43
2022-01-30,37
2022-02-06,39
2022-02-13,35
2022-02-20,40
2022-02-27,40
2022-03-06,43
2022-03-13,36
2022-03-20,39
2022-03-27,40
2022-04-03,43
2022-04-10,43
2022-04-17,42
2022-04-24,41
2022-05-01,40
2022-05-08,41
2022-05-15,44
2022-05-22,39
2022-05-29,42
2022-06-05,40
2022-06-12,43
2022-06-19,36
2022-06-26,35
2022-07-03,36
2022-07-10,33
2022-07-17,39
2022-07-24,38
2022-07-31,37
2022-08-07,33
2022-08-14,34
2022-08-21,31
2022-08-28,33
2022-09-04,34
2022-09-11,40
2022-09-18,41
2022-09-25,41
2022-10-02,44
2022-10-09,52
2022-10-16,48
2022-10-23,46
2022-10-30,40
2022-11-06,37
2022-11-13,38
2022-11-20,36
2022-11-27,37
2022-12-04,39
2022-12-11,41
2022-12-18,34
2022-12-25,36
2023-01-01,34
2023-01-08,42
2023-01-15,41
2023-01-22,39
2023-01-29,42
2023-02-05,41
2023-02-12,39
2023-02-19,37
2023-02-26,35
