Category: All categories

Week,welfare: (Ontario)
2018-01-07,59
2018-01-14,62
2018-01-21,80
2018-01-28,93
2018-02-04,69
2018-02-11,63
2018-02-18,57
2018-02-25,99
2018-03-04,59
2018-03-11,60
2018-03-18,68
2018-03-25,60
2018-04-01,76
2018-04-08,69
2018-04-15,60
2018-04-22,82
2018-04-29,56
2018-05-06,45
2018-05-13,53
2018-05-20,67
2018-05-27,71
2018-06-03,84
2018-06-10,65
2018-06-17,59
2018-06-24,66
2018-07-01,57
2018-07-08,55
2018-07-15,63
2018-07-22,65
2018-07-29,70
2018-08-05,67
2018-08-12,65
2018-08-19,47
2018-08-26,63
2018-09-02,42
2018-09-09,58
2018-09-16,63
2018-09-23,78
2018-09-30,60
2018-10-07,59
2018-10-14,71
2018-10-21,70
2018-10-28,72
2018-11-04,68
2018-11-11,92
2018-11-18,77
2018-11-25,79
2018-12-02,71
2018-12-09,65
2018-12-16,91
2018-12-23,49
2018-12-30,64
2019-01-06,76
2019-01-13,65
2019-01-20,74
2019-01-27,73
2019-02-03,62
2019-02-10,73
2019-02-17,63
2019-02-24,68
2019-03-03,68
2019-03-10,56
2019-03-17,64
2019-03-24,73
2019-03-31,75
2019-04-07,54
2019-04-14,65
2019-04-21,58
2019-04-28,82
2019-05-05,59
2019-05-12,56
2019-05-19,59
2019-05-26,87
2019-06-02,52
2019-06-09,49
2019-06-16,50
2019-06-23,63
2019-06-30,46
2019-07-07,53
2019-07-14,36
2019-07-21,60
2019-07-28,76
2019-08-04,65
2019-08-11,63
2019-08-18,66
2019-08-25,64
2019-09-01,64
2019-09-08,54
2019-09-15,60
2019-09-22,89
2019-09-29,73
2019-10-06,71
2019-10-13,64
2019-10-20,70
2019-10-27,84
2019-11-03,62
2019-11-10,56
2019-11-17,69
2019-11-24,73
2019-12-01,69
2019-12-08,60
2019-12-15,83
2019-12-22,49
2019-12-29,62
2020-01-05,68
2020-01-12,58
2020-01-19,58
2020-01-26,82
2020-02-02,67
2020-02-09,65
2020-02-16,60
2020-02-23,100
2020-03-01,54
2020-03-08,66
2020-03-15,94
2020-03-22,97
2020-03-29,89
2020-04-05,77
2020-04-12,77
2020-04-19,74
2020-04-26,51
2020-05-03,46
2020-05-10,59
2020-05-17,51
2020-05-24,53
2020-05-31,38
2020-06-07,54
2020-06-14,52
2020-06-21,51
2020-06-28,48
2020-07-05,43
2020-07-12,48
2020-07-19,35
2020-07-26,70
2020-08-02,50
2020-08-09,52
2020-08-16,51
2020-08-23,52
2020-08-30,43
2020-09-06,34
2020-09-13,50
2020-09-20,55
2020-09-27,60
2020-10-04,54
2020-10-11,43
2020-10-18,59
2020-10-25,57
2020-11-01,59
2020-11-08,49
2020-11-15,45
2020-11-22,50
2020-11-29,59
2020-12-06,57
2020-12-13,47
2020-12-20,52
2020-12-27,33
2021-01-03,45
2021-01-10,43
2021-01-17,41
2021-01-24,56
2021-01-31,58
2021-02-07,46
2021-02-14,49
2021-02-21,55
2021-02-28,51
2021-03-07,45
2021-03-14,47
2021-03-21,48
2021-03-28,42
2021-04-04,40
2021-04-11,53
2021-04-18,47
2021-04-25,46
2021-05-02,41
2021-05-09,47
2021-05-16,44
2021-05-23,47
2021-05-30,38
2021-06-06,33
2021-06-13,36
2021-06-20,34
2021-06-27,37
2021-07-04,43
2021-07-11,46
2021-07-18,55
2021-07-25,51
2021-08-01,46
2021-08-08,36
2021-08-15,46
2021-08-22,46
2021-08-29,44
2021-09-05,33
2021-09-12,46
2021-09-19,52
2021-09-26,51
2021-10-03,56
2021-10-10,51
2021-10-17,63
2021-10-24,64
2021-10-31,52
2021-11-07,48
2021-11-14,50
2021-11-21,65
2021-11-28,72
2021-12-05,64
2021-12-12,62
2021-12-19,60
2021-12-26,42
2022-01-02,57
2022-01-09,54
2022-01-16,55
2022-01-23,60
2022-01-30,67
2022-02-06,62
2022-02-13,55
2022-02-20,64
2022-02-27,52
2022-03-06,59
2022-03-13,48
2022-03-20,56
2022-03-27,60
2022-04-03,67
2022-04-10,59
2022-04-17,68
2022-04-24,73
2022-05-01,46
2022-05-08,40
2022-05-15,46
2022-05-22,46
2022-05-29,50
2022-06-05,45
2022-06-12,42
2022-06-19,55
2022-06-26,45
2022-07-03,52
2022-07-10,49
2022-07-17,47
2022-07-24,48
2022-07-31,46
2022-08-07,36
2022-08-14,39
2022-08-21,49
2022-08-28,54
2022-09-04,41
2022-09-11,64
2022-09-18,63
2022-09-25,83
2022-10-02,64
2022-10-09,61
2022-10-16,58
2022-10-23,64
2022-10-30,61
2022-11-06,53
2022-11-13,57
2022-11-20,52
2022-11-27,62
2022-12-04,57
2022-12-11,62
2022-12-18,62
2022-12-25,40
2023-01-01,30
2023-01-08,48
2023-01-15,59
2023-01-22,62
2023-01-29,65
2023-02-05,66
2023-02-12,47
2023-02-19,52
2023-02-26,57
