timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2022-08-07,1868.6311,1067.0573,1342.5422,1451.6086,1627.0602,2110.2021,2360.505,2535.5244,2800.955
2022-08-14,2000.408,1166.3589,1457.3246,1553.2493,1734.1293,2266.6868,2530.0315,2665.133,2965.5955
2022-08-21,2035.6743,1184.251,1481.5801,1579.0262,1759.1995,2312.1492,2589.1477,2714.4514,3015.7617
2022-08-28,2070.5786,1202.1735,1507.3032,1609.5795,1787.3739,2353.7834,2640.3035,2765.7163,3059.5417
2022-09-04,1964.3588,1131.8484,1437.1172,1519.546,1690.4309,2238.2866,2519.018,2686.1,2967.0684
2022-09-11,2115.2603,1242.8801,1565.4946,1655.2493,1830.8502,2399.6702,2678.9946,2832.0122,3133.123
2022-09-18,2199.3718,1262.5447,1607.5884,1699.907,1893.2688,2505.4749,2834.5715,2972.53,3300.355
2022-09-25,2278.4136,1279.6501,1646.5142,1740.4221,1953.1835,2603.6438,2971.9695,3113.2627,3474.2637
2022-10-02,2246.031,1206.4231,1599.4268,1675.1779,1901.0822,2590.98,3014.5613,3202.437,3602.234
2022-10-09,2338.9316,1298.1504,1686.7959,1772.7612,2001.2424,2676.6208,3070.443,3257.1118,3666.8809
2022-10-16,2392.8047,1327.7764,1713.9495,1804.2786,2047.1611,2738.4482,3158.5378,3317.7422,3728.7283
2022-10-23,2411.664,1328.198,1715.2642,1813.1877,2059.8962,2763.4316,3200.3066,3358.2207,3765.4573
