timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2021-09-12,994.3258,676.8662,822.1069,869.8003,933.42285,1053.8849,1110.4711,1161.3267,1283.2583
2021-09-19,984.11865,740.69684,796.66583,858.7522,924.0937,1035.8131,1113.4775,1153.535,1431.1671
2021-09-26,981.7316,728.63,799.1753,829.34235,895.55475,1050.798,1140.6179,1203.7653,1393.7144
2021-10-03,866.00323,600.0036,710.8058,744.47656,803.9998,930.10986,996.5332,1025.6461,1081.8058
2021-10-10,881.04877,616.4088,727.0947,780.0524,834.90173,929.75085,982.97003,1046.1969,1168.7867
2021-10-17,874.6477,572.9548,683.86005,745.41876,810.20276,928.8044,988.1593,1075.5304,1286.015
2021-10-24,876.531,589.5517,709.6576,765.96545,812.40717,939.103,1017.2184,1069.9996,1201.438
2021-10-31,914.7814,637.1021,739.482,767.8198,854.2364,977.65375,1030.5289,1083.2593,1271.8738
2021-11-07,814.93396,610.8176,686.60736,714.0133,758.087,863.55255,933.60065,956.5113,1034.3739
2021-11-14,793.9848,513.8625,651.30383,689.741,729.8539,854.5928,910.73865,951.2853,1128.2999
2021-11-21,782.5647,435.5575,603.8659,660.2386,725.27167,850.7113,914.4227,956.1962,1049.0038
2021-11-28,796.24615,405.92566,580.1851,641.8506,729.7672,871.39026,935.8884,1007.2416,1120.1549
