,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2021-03-14,1950.7631,1005.7718,1474.3063,1622.3853,1798.9038,2102.6223,2279.1409,2427.22,2895.7544
2021-03-21,2210.594,1016.7319,1594.0417,1782.063,2010.709,2410.4792,2639.125,2827.1465,3404.4563
2021-03-28,2107.1077,1350.6799,1728.5259,1846.8616,1987.0729,2227.1426,2367.354,2485.6897,2863.5356
2021-04-04,2179.6729,1266.6187,1712.1456,1855.694,2029.0168,2330.329,2503.6519,2647.2,3092.7273
2021-04-11,1981.3394,1008.4792,1487.2275,1639.9164,1823.0334,2139.6453,2322.7622,2475.4512,2954.1995
2021-04-18,2080.189,1164.172,1614.1945,1758.0116,1930.72,2229.658,2402.3662,2546.1833,2996.2058
2021-04-25,2162.454,1291.3303,1717.6819,1854.5557,2019.4235,2305.4846,2470.352,2607.226,3033.5776
2021-05-02,2044.9043,1228.4127,1631.7706,1759.8135,1912.8956,2176.9128,2329.995,2458.0378,2861.3958
2021-05-09,2078.3901,1244.2166,1655.751,1786.6044,1943.2175,2213.5627,2370.176,2501.0293,2912.5637
2021-05-16,2065.1565,1204.9783,1627.8143,1762.8484,1924.9338,2205.3794,2367.4648,2502.4988,2925.335
2021-05-23,1993.6833,1240.3004,1609.7526,1728.0796,1870.3837,2116.983,2259.287,2377.614,2747.0664
2021-05-30,2059.692,1294.4094,1669.4142,1789.6285,1934.2894,2185.0942,2329.7551,2449.9695,2824.974
2021-06-06,2234.2488,1426.2097,1817.6259,1944.8425,2099.336,2369.1616,2523.6548,2650.8718,3042.2878
2021-06-13,2045.0681,1127.6427,1576.1389,1720.321,1894.1511,2195.9854,2369.8152,2513.9976,2962.4937
2021-06-20,2153.904,1356.2075,1743.1046,1868.663,2020.9897,2286.818,2439.145,2564.7034,2951.6003
2021-06-27,1973.1061,960.2746,1449.2716,1608.829,1803.1017,2143.11,2337.3828,2496.9404,2985.9375
2021-07-04,2003.5521,1056.6145,1517.025,1666.0042,1846.3949,2160.7092,2341.1,2490.079,2950.4897
2021-07-11,1837.2748,688.5038,1243.0839,1424.0597,1644.4259,2030.1237,2250.4897,2431.4658,2986.046
2021-07-18,2002.6556,1279.3195,1635.0083,1748.5524,1884.8062,2120.5051,2256.7588,2370.303,2725.9917
2021-07-25,2111.921,1321.7507,1707.8741,1832.0673,1981.8481,2241.9937,2391.7742,2515.9675,2902.0908
2021-08-01,2152.18,1465.231,1806.3658,1913.9727,2042.0818,2262.278,2390.3875,2497.9941,2839.129
2021-08-08,1865.9711,579.2685,1199.0397,1401.8285,1649.1912,2082.751,2330.1138,2532.9026,3152.6736
2021-08-15,1966.2283,939.74335,1437.529,1599.1036,1795.1497,2137.307,2333.3528,2494.9275,2992.7134
2021-08-22,1874.3743,721.2959,1282.9397,1464.2874,1683.5603,2065.1885,2284.4612,2465.809,3027.453
2021-08-29,1866.8629,699.3047,1273.0962,1456.3934,1676.4543,2057.2715,2277.3323,2460.6296,3034.4211
2021-09-05,1904.7775,883.2173,1389.1995,1549.3119,1740.3326,2069.2224,2260.2432,2420.3555,2926.3376
