,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2021-12-12,2426.025,-1932.9883,596.81335,1244.4115,1914.2075,2937.8425,3607.6382,4255.237,6785.038
2021-12-19,2282.442,-2090.4722,447.32495,1096.9972,1768.9575,2795.926,3467.8862,4117.5586,6655.356
2021-12-26,2434.9485,-2203.5725,488.42407,1177.55,1890.3025,2979.5942,3692.3464,4381.4727,7073.469
2022-01-02,1924.0492,-1804.1403,359.3631,913.26666,1486.208,2361.8904,2934.8318,3488.7356,5652.239
2022-01-09,1950.4117,-1656.4038,436.71225,972.5774,1526.8474,2373.9763,2928.246,3464.1113,5557.2275
2022-01-16,2240.7244,-1632.4697,615.303,1190.735,1785.9121,2695.5366,3290.7134,3866.1455,6113.9185
2022-01-23,2667.23,-1949.6373,729.88293,1415.7806,2125.17,3209.2898,3918.679,4604.577,7284.097
2022-01-30,2481.7698,-1881.7644,650.6932,1298.959,1969.4368,2994.1025,3664.5803,4312.846,6845.3037
2022-02-06,2767.6423,-2105.3643,722.711,1446.6744,2195.4602,3339.8245,4088.61,4812.5737,7640.649
2022-02-13,2688.6924,-2082.329,686.7111,1395.5039,2128.5586,3248.8262,3981.8804,4690.6733,7459.714
2022-02-20,2475.4329,-1792.7235,684.39923,1318.4928,1974.3076,2976.5579,3632.3723,4266.4663,6743.589
2022-02-27,2652.6453,-1819.5148,776.1072,1440.4961,2127.6165,3177.6738,3864.7942,4529.183,7124.805
2022-03-06,2769.8503,-1901.3353,809.8141,1503.7686,2221.463,3318.2383,4035.9321,4729.8867,7441.0366
2022-03-13,2683.051,-2161.4285,650.34283,1370.0367,2114.3394,3251.7627,3996.0654,4715.7593,7527.5303
2022-03-20,2291.2886,-1839.0693,558.0946,1171.7145,1806.3499,2776.227,3410.8625,4024.4827,6421.6465
2022-03-27,2408.0696,-1811.4758,637.5536,1264.4106,1912.7091,2903.4304,3551.7285,4178.5854,6627.615
2022-04-03,2796.9094,-2337.3467,642.5932,1405.3386,2194.1704,3399.6484,4188.48,4951.226,7931.1655
2022-04-10,2666.0916,-2480.2659,506.61456,1271.1681,2061.8918,3270.291,4061.0146,4825.5684,7812.4487
2022-04-17,2184.1548,-2255.328,321.09308,980.6565,1662.8496,2705.4597,3387.6528,4047.2163,6623.637
2022-04-24,1839.7834,-1960.2068,245.06157,809.6206,1393.5571,2286.0098,2869.946,3434.5054,5639.7734
2022-05-01,2035.8047,-1897.0795,385.61606,969.88116,1574.1188,2497.4907,3101.728,3685.9934,5968.689
2022-05-08,1896.5966,-1803.1431,344.132,893.77374,1462.2314,2330.9614,2899.419,3449.061,5596.3364
2022-05-15,2317.6953,-2122.125,454.60626,1114.2056,1796.4053,2838.9856,3521.185,4180.7847,6757.5156
2022-05-22,2314.537,-2235.601,405.1896,1081.1741,1780.3108,2848.7632,3547.8997,4223.8843,6864.675
2022-05-29,2238.623,-2152.2437,396.21136,1048.5211,1723.1455,2754.1006,3428.7249,4081.035,6629.4897
2022-06-05,2174.2332,-2063.4585,395.93335,1025.5072,1676.661,2671.8057,3322.9587,3952.5332,6411.9253
