,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2021-09-05,2611.777304900561,764.1254933821515,1305.3876555139443,1593.9325113272826,2076.0783139170176,3147.4762958841043,3629.6220984738393,3918.166954287177,4459.429116418971
2021-09-12,2269.1402419199558,411.73322254197365,955.8531335554555,1245.9214447231639,1730.6128744129628,2807.6676094269487,3292.3590391167477,3582.4273502844553,4126.547261297937
2021-09-19,2350.158381718646,497.0672071259162,1039.922808779091,1329.3171213051128,1812.8823288166495,2887.4344346206426,3370.9996421321794,3660.3939546582005,4203.249556311376
2021-09-26,1956.4182479496421,97.59156030722556,642.1273574251818,932.4173759362925,1417.4792688759849,2495.3572270232994,2980.4191199629918,3270.7091384741016,3815.244935592059
2021-10-03,2337.093555244216,471.5111962719627,1018.0260401171454,1309.3710811155222,1796.1958703731523,2877.9912401152797,3364.8160293729097,3656.1610703712863,4202.675914216469
2021-10-10,2585.2829845714728,720.3236831471113,1266.6560047911942,1557.903743879547,2044.565945911805,3126.0000232311404,3612.662225263399,3903.909964351751,4450.242285995834
2021-10-17,2694.2610030945375,834.2962776071931,1379.1654583316783,1669.6332024098183,2154.9920669795,3233.529939209575,3718.8888037792567,4009.3565478573964,4554.225728581881
2021-10-24,2026.2871742436325,145.06147723022764,696.1589739964461,989.9470103099488,1480.8539376241185,2571.7204108631468,3062.6273381773162,3356.415374490818,3907.5128712570377
2021-10-31,2278.0870189005873,395.759255104663,947.1795978994467,1241.1397422361583,1732.3342545108994,2823.839783290275,3315.0342955650162,3608.994439901727,4160.414782696512
2021-11-07,2174.2250652342454,295.2458163530041,845.6852251799521,1139.1224372481363,1629.4431526305416,2719.0069778379493,3209.3276932203544,3502.764905288538,4053.204314115487
2021-11-14,2148.9017984463335,274.82976237091316,823.8316229559459,1116.50248337569,1605.5426587548372,2692.2609381378297,3181.3011135169772,3473.97197393672,4022.973834521754
2021-11-21,2238.639391174846,368.82428942156525,916.579098229369,1208.5851599611074,1696.5144858812146,2780.7642964684774,3268.6936223885846,3560.699684120322,4108.4544929281265
2021-11-28,1949.7903269170681,78.42239595105843,626.6320998272206,918.8806644366637,1407.2152020326876,2492.3654518014487,2980.6999893974726,3272.948554006915,3821.1582578830776
2021-12-05,2137.3197845912982,265.24692976792176,813.6631382510657,1106.0217897023667,1594.5402775842917,2680.0992915983047,3168.6177794802297,3460.9764309315306,4009.3926394146747
2021-12-12,2666.068693439462,774.671109265651,1328.7484194377719,1624.1249832518306,2117.6862703692013,3214.451116509723,3708.0124036270936,4003.388967441152,4557.466277613274
2021-12-19,2592.4895190334346,700.5001061030994,1254.7507901275721,1550.2197789007887,2043.9355040724677,3141.0435339944015,3634.7592591660805,3930.2282479392966,4484.478931963769
2021-12-26,2272.1098253199116,381.0081008856532,934.9987401377882,1230.3291000051086,1723.8131823533276,2820.4064682864955,3313.8905506347146,3609.2209105020347,4163.21154975417
2022-01-02,2701.7025468422344,795.3404719281493,1353.8015694366004,1651.5151140584358,2148.981393638854,3254.4237000456146,3751.889979626033,4049.603524247868,4608.064621756319
2022-01-09,3039.1227946451186,1135.0731476504839,1692.8568287065207,1990.2092451242015,2487.0720953094255,3591.1734939808116,4088.0363441660356,4385.388760583716,4943.172441639754
2022-01-16,3228.852795582307,1329.2920772941309,1885.760744751736,2182.4121322860055,2678.103593944208,3779.601997220406,4275.293458878608,4571.944846412877,5128.413513870483
2022-01-23,2692.8095473432954,779.4614029851477,1339.9690414211282,1638.7735894386642,2138.0628878574034,3247.5562068291874,3746.8455052479267,4045.6500532654622,4606.157691701443
2022-01-30,2753.577196497989,844.5894017825635,1403.8196933393551,1701.943292462131,2200.0947551344616,3307.0596378615164,3805.211100533847,4103.334699656622,4662.564991213414
2022-02-06,2251.2394596220574,331.4919176581009,893.8742338677114,1193.6781656695455,1694.6373905730848,2807.84152867103,3308.800753574569,3608.604685376403,4170.987001586014
2022-02-13,2675.9793661660506,744.3143623906194,1310.1878510749295,1611.852914004726,2115.9220074203436,3236.0367249117576,3740.1058183273753,4041.770881257171,4607.644369941481
2022-02-20,3083.0149262678015,1150.3093267723957,1716.4876537848947,2018.315224899463,2522.655862366536,3643.373990169067,4147.71462763614,4449.542198750707,5015.720525763207
2022-02-27,2746.324859441325,812.8664960700505,1379.2653422304147,1681.210471286728,2185.7475429200376,3306.902175962612,3811.4392475959216,4113.384376652235,4679.783222812599
