,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2020-09-27,2331.713,-1704.1555,634.9335,1234.9167,1856.3158,2807.1099,3428.5085,4028.492,6367.581
2020-10-04,2283.1284,-1575.2535,661.2838,1234.8424,1828.7893,2737.4675,3331.414,3904.973,6141.5103
2020-10-11,2328.5215,-1562.3431,693.4006,1271.7411,1870.5385,2786.5044,3385.3015,3963.6423,6219.3857
2020-10-18,2117.6677,-1680.3403,521.2307,1085.811,1670.4523,2564.8833,3149.524,3714.1045,5915.676
2020-10-25,2027.559,-1671.2286,472.9001,1022.7221,1592.0614,2463.0566,3032.3955,3582.218,5726.3467
2020-11-01,2269.9253,-1422.9528,718.25757,1267.1383,1835.367,2704.4836,3272.712,3821.593,5962.803
2020-11-08,2087.8677,-1466.9038,593.6953,1122.1151,1669.3047,2506.4307,3053.62,3582.04,5642.639
2020-11-15,1758.1415,-1774.8151,272.61206,797.8541,1341.8944,2174.3887,2718.429,3243.671,5291.098
2020-11-22,1829.9027,-1612.2477,382.95782,894.64996,1424.5474,2235.258,2765.1553,3276.8477,5272.053
2020-11-29,1896.1285,-1291.9229,556.14545,1030.0463,1520.7678,2271.4893,2762.2107,3236.1118,5084.18
2020-12-06,1956.1776,-1389.8458,549.7032,1047.0979,1562.1725,2350.1829,2865.2573,3362.652,5302.201
2020-12-13,1979.4556,-1289.176,605.67847,1091.5482,1594.6433,2364.2678,2867.3628,3353.2327,5248.0874
2020-12-20,1977.651,-1376.3468,568.2178,1066.7493,1582.8956,2372.4065,2888.5527,3387.0845,5331.649
2020-12-27,1988.4169,-1621.3867,471.06915,1007.6748,1563.3529,2413.4807,2969.1587,3505.7646,5598.22
2021-01-03,2113.3464,-1902.7533,424.9953,1022.02515,1640.3342,2586.359,3204.6677,3801.6978,6129.4463
2021-01-10,2182.3562,-1835.5992,493.52127,1090.7904,1709.2677,2655.4446,3273.9216,3871.191,6200.311
2021-01-17,2118.601,-1499.4436,598.3321,1136.0958,1692.8274,2544.3745,3101.106,3638.8699,5736.646
2021-01-24,1854.7891,-1739.6909,343.89807,878.22394,1431.537,2278.0413,2831.354,3365.68,5449.269
2021-01-31,1627.004,-1758.6683,203.52931,706.8593,1228.1697,2025.8384,2547.1484,3050.4788,5012.6763
2021-02-07,1764.9882,-1442.4874,416.77646,893.5726,1387.3096,2142.6667,2636.4038,3113.2,4972.464
2021-02-14,2054.4353,-1378.0135,611.96674,1122.1675,1650.4137,2458.4568,2986.703,3496.9038,5486.8843
2021-02-21,2055.8804,-1819.01,426.85236,1002.8953,1599.4802,2512.2808,3108.8655,3684.9087,5930.771
2021-02-28,2142.6147,-1905.7952,440.76187,1042.5847,1665.836,2619.3936,3242.6445,3844.4675,6191.025
2021-03-07,2176.4985,-1914.6973,456.63834,1064.8243,1694.6708,2658.3264,3288.1726,3896.3586,6267.6943
2021-03-14,2038.3236,-1544.7979,532.2529,1064.8848,1616.4312,2460.2163,3011.7625,3544.3945,5621.4453
2021-03-21,1953.3861,-1628.1761,448.09647,980.481,1531.7375,2375.035,2926.291,3458.6758,5534.948
