,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2022-04-03,2399.324,1835.2719,1989.134,2051.3354,2176.302,2622.346,2925.8545,3041.962,3793.417
2022-04-10,2365.6057,1809.0536,1962.7036,2030.8276,2161.8918,2569.3196,2829.632,2930.2485,3631.6436
2022-04-17,2174.725,1597.2727,1770.2534,1858.8259,1963.0076,2386.4424,2651.1875,2784.9712,3374.1572
2022-04-24,2020.7944,1431.719,1613.9409,1713.434,1815.4824,2226.1064,2465.956,2596.6558,3066.624
2022-05-01,2103.0137,1569.2678,1722.3743,1809.4099,1910.2529,2295.7742,2533.7952,2664.3914,3201.085
2022-05-08,2027.696,1485.6223,1646.4785,1745.951,1842.9303,2212.462,2432.511,2564.7368,3037.4236
2022-05-15,2170.566,1563.402,1753.7954,1836.7954,1965.2068,2375.9253,2625.7786,2759.7192,3301.721
2022-05-22,2175.194,1586.2361,1766.2007,1857.7556,1984.109,2366.2793,2597.762,2719.4128,3254.9673
2022-05-29,2142.7417,1569.351,1746.6785,1845.0706,1962.365,2323.1184,2544.2434,2658.58,3168.2083
2022-06-05,2121.37,1580.8152,1744.1034,1840.5271,1946.8978,2295.8425,2507.5823,2621.4421,3126.7007
2022-06-12,2094.931,1546.7571,1717.218,1819.7098,1924.8903,2264.9714,2473.15,2586.8494,3062.6445
2022-06-19,2256.3984,1601.4185,1789.6875,1876.9053,2015.0298,2497.767,2812.0693,2937.571,3554.0798
2022-06-26,2240.1602,1610.2915,1791.1877,1882.4344,2017.9683,2462.352,2738.4104,2861.9988,3449.1143
2022-07-03,2175.834,1597.0955,1759.2693,1853.0104,1968.1234,2383.5444,2642.877,2770.018,3329.003
2022-07-10,1985.3191,1332.5311,1530.803,1647.8169,1765.3558,2205.2825,2461.447,2599.9375,3021.4885
2022-07-17,2136.458,1476.4093,1675.7983,1784.7903,1920.1392,2352.7769,2619.9417,2758.165,3254.1587
2022-07-24,1969.8562,1300.0679,1510.6318,1630.5239,1757.5815,2182.1309,2430.764,2568.9697,2954.7844
2022-07-31,2165.5034,1427.4165,1662.0278,1764.528,1921.3418,2409.6648,2698.898,2849.295,3338.0635
2022-08-07,1958.4017,1234.0515,1462.5127,1574.6133,1716.9431,2199.8604,2465.3416,2621.5508,3013.0093
2022-08-14,1919.4523,1215.177,1441.2225,1547.5068,1694.0752,2144.8293,2390.3054,2540.1594,2902.8137
2022-08-21,2027.2749,1318.6334,1541.3228,1658.2476,1804.9897,2249.56,2503.9175,2653.3274,3073.5083
2022-08-28,2011.86,1317.3853,1535.3157,1653.4075,1798.2649,2225.455,2475.4434,2616.7954,3026.8972
2022-09-04,1815.5118,1142.7573,1351.1907,1467.3418,1608.0388,2022.9849,2247.8079,2381.2388,2696.3127
2022-09-11,1871.398,1183.1036,1401.1853,1516.1654,1663.1637,2079.6323,2309.075,2446.9907,2804.9968
2022-09-18,2187.393,1345.9299,1594.0404,1702.0831,1886.1106,2488.6753,2855.4077,3023.5383,3602.7178
2022-09-25,2081.6587,1259.02,1507.0566,1620.8594,1793.157,2370.1606,2721.4946,2911.0554,3422.7021
