,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2020-09-27,3461.9818658678805,2228.112910775925,2589.569855345762,2782.261215005663,3104.240028294338,3819.723703441423,4141.702516730098,4334.39387639,4695.850820959837
2020-10-04,3017.2964731930097,1811.7830320842068,2164.933342952174,2353.1964669224417,2667.775892533188,3366.817053852831,3681.3964794635776,3869.6596034338454,4222.809914301813
2020-10-11,2774.354700845015,1553.625545918002,1911.2332389119092,2101.872576799974,2420.4225516804054,3128.2868500096247,3446.836824890056,3637.476162778121,3995.083855772028
2020-10-18,2671.7248101925716,1433.05454000644,1795.9180105097612,1989.3591839402693,2312.590903163459,3030.858717221684,3354.090436444874,3547.531609875382,3910.395080378703
2020-10-25,2371.588665820687,1044.8464186689002,1433.510220370163,1640.7054548939605,1986.9196071464953,2756.2577244948784,3102.4718767474133,3309.6671112712106,3698.3309129724735
2020-11-01,2527.7691611172804,1245.4119683430881,1621.0733469963575,1821.337037905817,2155.968884697732,2899.569437536829,3234.201284328744,3434.4649752382034,3810.1263538914727
2020-11-08,2491.2010617098776,1202.6310021880372,1580.11241515075,1781.3463596159454,2117.5994575579707,2864.8026658617846,3201.05576380381,3402.289708269005,3779.771121231718
2020-11-15,2536.3891281744377,1258.2649532229966,1632.6862863412784,1832.2889135645464,2165.8161519216883,2906.962104427187,3240.489342784329,3440.091970007597,3814.513303125879
2020-11-22,2514.892025414914,1229.2652079855038,1605.8844100226002,1806.6587130337675,2142.14377025945,2887.640280570378,3223.12533779606,3423.8996408072276,3800.518842844324
2020-11-29,2459.7768561950993,1184.113948419058,1557.8142632239133,1757.0325182522597,2089.917487524787,2829.636224865412,3162.521194137939,3361.7394491662853,3735.4397639711406
2020-12-06,2513.6696599982965,1235.4327607211987,1609.887115977012,1809.5073471796068,2143.0640010143434,2884.2753189822497,3217.8319728169863,3417.452204019581,3791.906559275394
2020-12-13,2276.612382096222,992.6975123835823,1368.8152062269492,1569.3221570757578,1904.360480560403,2648.8642836320414,2983.9026071166863,3184.409557965495,3560.527251808862
2020-12-20,2226.981721433056,942.828253838285,1319.0158439709621,1519.5600562729664,1854.6606420121443,2599.3028008539677,2934.4033865931456,3134.94759889515,3511.135189027827
2020-12-27,2402.094698384743,1137.2656218021775,1507.7922093607003,1705.3185621376922,2035.3764369309797,2768.8129598385062,3098.8708346317935,3296.3971874087856,3666.9237749673084
2021-01-03,2201.0149257243675,922.594271575736,1297.1024570816257,1496.7513849913498,1830.3559897654698,2571.6738616832654,2905.278466457385,3104.927394367109,3479.435579872999
2021-01-10,1948.7843963709524,633.6434238766456,1018.908678857446,1224.292160700124,1567.4789536602188,2330.089839081686,2673.276632041781,2878.660113884459,3263.9253688652593
2021-01-17,2002.949955011191,714.1497930829364,1091.698613619539,1292.9684928129484,1629.2816361102332,2376.6182739121487,2712.9314172094337,2914.2012964028427,3291.7501169394454
2021-01-24,2002.6390056033808,717.8139623681011,1094.1982878818444,1294.84737908752,1630.1232128762354,2375.1547983305263,2710.4306321192416,2911.0797233249173,3287.4640488386603
2021-01-31,2105.782853967578,831.5790031377112,1204.8518930822997,1403.8422894992277,1736.346517022713,2475.219190912443,2807.723418435928,3006.713814852856,3379.986704797445
2021-02-07,2051.8585253049014,779.8746526125603,1152.4972088962763,1351.140914845007,1683.0658377970485,2420.6512128127542,2752.5761357647957,2951.2198417135264,3323.842397997242
2021-02-14,2136.756850150603,868.9724627447706,1240.3647967150364,1438.3526757006284,1769.18174055251,2504.3319597486957,2835.1610246005775,3033.1489035861696,3404.5412375564356
2021-02-21,2203.2259164900825,938.3800661951877,1308.91156754523,1506.4405398462982,1836.502791749463,2569.949041230702,2900.0112931338667,3097.540265434935,3468.071766784977
2021-02-28,2443.3735090378636,1155.5804101306242,1532.8342156082422,1733.9468233653442,2069.997172988248,2816.749845087479,3152.800194710383,3353.912802467485,3731.1666079451034
2021-03-07,2439.977143459403,1165.6764458938624,1538.9777066998977,1737.983227518083,2070.512727252928,2809.4415596658782,3141.9710594007233,3340.9765802189086,3714.277841024944
2021-03-14,2247.849557473163,984.8646884537613,1354.851022828846,1552.0893686328327,1881.6659964021192,2614.0331185442064,2943.609746313493,3140.8480921174796,3510.8344264925645
2021-03-21,2055.4463538144187,806.9619952223738,1172.700463426464,1367.6742874929687,1693.4669987286452,2417.425708900192,2743.2184201358687,2938.1922442023733,3303.9307124064635
