,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2020-03-01,1701.5962397828744,1270.5408333397615,1396.8167798333054,1464.134019653222,1576.618175815395,1826.5743037503537,1939.0584599125268,2006.3756997324433,2132.6516462259874
2020-03-08,1636.8803329319953,1206.4455527675536,1332.539689290531,1399.7600068878853,1512.082210265788,1761.6784555982026,1874.0006589761053,1941.2209765734597,2067.315113096437
2020-03-15,1528.407903073338,1096.2232952525064,1222.8300367450736,1290.3236221549364,1403.1024440659005,1653.7133620807756,1766.4921839917397,1833.9857694016025,1960.5925108941697
2020-03-22,1453.9795550562296,1022.26646158901,1148.7350748493413,1216.155024609712,1328.8108045789866,1579.1483055334727,1691.8040855027473,1759.224035263118,1885.6926485234494
2020-03-29,1360.60369627425,928.7489105055897,1055.2590319553738,1122.7011095779499,1235.3938642347566,1485.8135283137435,1598.5062829705503,1665.9483605931264,1792.4584820429104
2020-04-05,1322.7842698814156,892.5058679351387,1018.554194088464,1085.7500903472678,1198.0314867392249,1447.5370530236064,1559.8184494155635,1627.0143456743672,1753.0626718276926
2020-04-12,1545.565150882682,1103.5729274506757,1233.0527704648434,1302.0779956646047,1417.4161205085468,1673.7141812568173,1789.0523061007593,1858.0775313005206,1987.5573743146883
2020-04-19,2032.4426824963216,1568.1863372171251,1704.1883651223263,1776.6905429536164,1897.838503195142,2167.046861797501,2288.194822039027,2360.696999870317,2496.699027775518
2020-04-26,1949.3842786900327,1485.8756803720592,1621.6586588143498,1694.0440621875055,1814.996897429556,2083.7716599505093,2204.72449519256,2277.109898565716,2412.8928770080065
2020-05-03,2011.195765479787,1545.6502888219882,1682.0299625763178,1754.7334620123843,1876.2178218283889,2146.173709131185,2267.65806894719,2340.3615683832563,2476.7412421375857
2020-05-10,2129.6045493717947,1660.5752464071275,1797.9754930570598,1871.2230561273714,1993.6165224213048,2265.5925763222845,2387.986042616218,2461.2336056865297,2598.633852336462
2020-05-17,3374.132264224872,2799.3657059930047,2967.741256023704,3057.501638709146,3207.487302562501,3540.777225887243,3690.762889740598,3780.52327242604,3948.8988224567393
2020-05-24,3352.7903503003777,2780.391535480504,2948.073464607871,3037.464080556335,3186.831880404911,3518.7488201958445,3668.1166200444204,3757.5072359928845,3925.1891651202513
2020-05-31,3004.7613690634153,2424.3492478755006,2594.378642853062,2685.0206841599947,2836.4795609128505,3173.04317721398,3324.502053966836,3415.1440952737685,3585.17349025133
2020-06-07,3139.5163230133944,2559.8049863777974,2729.6290893411324,2820.161690234918,2971.437696855905,3307.594949170884,3458.870955791871,3549.4035566856564,3719.2276596489914
2020-06-14,2958.263494947127,2377.790874709689,2547.8379926403245,2638.4894819879605,2789.964146002576,3126.5628438916783,3278.0375079062937,3368.6889972539298,3538.7361151845653
2020-06-21,2994.68713035087,2416.4204757518555,2585.821364926836,2676.1283521160567,2827.027368128926,3162.3468925728143,3313.2459085856835,3403.5528957749043,3572.9537849498847
2020-06-28,2828.7884755279347,2250.232731617241,2419.71830834261,2510.0704421515757,2661.0448961865495,2996.53205486932,3147.5065089042937,3237.8586427132595,3407.3442194386284
2020-07-05,3303.971150785303,2705.6515120367803,2880.9268422131945,2974.3654721632297,3130.497325920099,3477.4449756505073,3633.5768294073764,3727.0154593574116,3902.290789533826
2020-07-12,3322.7206857573688,2726.7079247413585,2901.307464370285,2994.385832880065,3149.9157055662126,3495.525665948525,3651.0555386346723,3744.1339071444527,3918.733446773379
2020-07-19,2888.2298135531328,2268.6864409292953,2450.1791785275236,2546.9322853680073,2708.6024846829905,3067.857142423275,3229.527341738258,3326.280448578742,3507.7731861769703
2020-07-26,2569.1148245330255,1950.6676117898976,2131.839233762673,2228.4211550514437,2389.8053108152794,2748.4243382507716,2909.8084940146073,3006.390415303378,3187.562037276153
2020-08-02,2486.5493400330233,1869.1267539834976,2049.9982156900905,2146.420122651636,2307.53690149063,2665.5617785754166,2826.6785574144105,2923.100464375956,3103.971926082549
2020-08-09,2190.467641270797,1567.920963186251,1750.2935070321018,1847.5156353276677,2009.9695489294816,2370.9657336121118,2533.419647213926,2630.6417755094917,2813.0143193553426
2020-08-16,2361.0962465774314,1738.6843643286097,1921.017420276884,2018.2184977203678,2180.637236271344,2541.5552568835187,2703.973995434495,2801.175072877979,2983.508128826253
2020-08-23,2376.2909361031907,1756.1869255480588,1937.8438997719184,2034.6845605498056,2196.501058655319,2556.0808135510624,2717.8973116565758,2814.737972434463,2996.3949466583226
