,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2021-03-14,2104.2170709816687,965.4495277311219,1299.0468964468023,1476.886419306959,1774.0484644936337,2434.3856774697038,2731.5477226563785,2909.387245516535,3242.984614232216
2021-03-21,2036.0204187488728,931.0897283331303,1254.7747271905253,1427.3300023577292,1715.662301341444,2356.378536156302,2644.7108351400166,2817.2661103072205,3140.9511091646154
2021-03-28,1950.85209538048,889.6970289486005,1200.558134939134,1366.2770402709511,1643.186065005704,2258.518125755256,2535.427150490009,2701.146055821826,3012.0071618123593
2021-04-04,1875.3253412335655,855.5454904965691,1154.2858935678241,1313.5432970233137,1579.6554354323152,2170.9952470348157,2437.1073854438173,2596.364788899307,2895.105191970562
2021-04-11,2333.594395560172,1069.0175967114812,1439.4702805231814,1636.9572354862064,1966.9492782597831,2700.239512860561,3030.2315556341373,3227.7185105971625,3598.171194408863
2021-04-18,2251.1473241127046,1046.0813323433358,1399.1005647281186,1587.2938112440274,1901.7564746923717,2600.5381735330375,2915.000836981382,3103.1940834972906,3456.2133158820734
2021-04-25,2348.5778722605965,1093.8610248649657,1461.4252755808152,1657.3724175484408,1984.791500321007,2712.3642442001856,3039.783326972752,3235.7304689403777,3603.2947196562272
2021-05-02,2018.5653362004923,942.683584265741,1257.8588135053778,1425.8775619778473,1706.629523762213,2330.5011486387716,2611.2531104231375,2779.271858895607,3094.4470881352436
2021-05-09,2132.7460637307645,1007.6386535591803,1337.2343412658986,1512.9405827874998,1806.5380083928337,2458.9541190686955,2752.551544674029,2928.2577861956306,3257.853473902349
2021-05-16,2304.735110759814,1087.5339588888762,1444.108137586294,1634.1965128271877,1951.825853281584,2657.6443682380436,2975.27370869244,3165.3620839333335,3521.936262630751
2021-05-23,2120.110166622395,1010.6138252713697,1335.636313195354,1508.904598834879,1798.4283070553413,2441.7920261894487,2731.315734409911,2904.584020049436,3229.60650797342
2021-05-30,2095.7209679890484,999.3986054006862,1320.5618292660938,1491.7727555163315,1777.8587064038231,2413.583229574274,2699.6691804617653,2870.880106712003,3192.0433305774104
2021-06-06,2048.1523914227105,978.5627046902919,1291.8946987519275,1458.9308253714821,1738.0408691234495,2358.263913721971,2637.373957473939,2804.4100840934934,3117.742078155129
2021-06-13,1964.582452435408,940.2382704541303,1240.3157759938072,1400.285983827565,1667.5891870991884,2261.5757177716278,2528.878921043251,2688.8491288770088,2988.9266344166854
2021-06-20,2046.310614227696,982.8035326770059,1294.3536520306839,1460.4398678368539,1737.9626522692363,2354.658576186156,2632.1813606185383,2798.2675764247083,3109.817695778386
2021-06-27,2328.469681735863,1111.4961869133965,1468.0036743946926,1658.0564967950472,1975.6264300117455,2681.3129334599807,2998.882866676679,3188.9356890770337,3545.4431765583295
2021-07-04,2100.0371671975754,1014.8124732663039,1332.7246797622522,1502.2025006824913,1785.3925085529104,2414.6818258422404,2697.8718337126593,2867.349654632899,3185.261861128847
2021-07-11,2238.6172369833002,1089.5809596970594,1426.186512720988,1605.629687504761,1905.4713647424292,2571.7631092241713,2871.6047864618395,3051.0479612456124,3387.653514269541
2021-07-18,1997.3330245017546,974.8859037271169,1274.407672821214,1434.0816196122112,1700.889783671178,2293.776265332331,2560.584429391298,2720.2583761822953,3019.7801452763924
2021-07-25,1977.1362212457238,966.2242150106667,1262.366818724572,1420.2393449552324,1684.0374142425658,2270.235028248882,2534.0330975362153,2691.9056237668756,2988.048227480781
2021-08-01,1713.0006163267017,828.7687160001171,1087.800892524413,1225.8899873390967,1456.6308101503214,1969.370422503082,2200.1112453143064,2338.2003401289903,2597.2325166532864
2021-08-08,1884.3499547077859,928.2623079875015,1208.3443362274652,1357.655029101521,1607.1466502502328,2161.5532591653387,2411.0448803140507,2560.3555731881065,2840.43760142807
2021-08-15,2113.2234090572065,1036.2631078641998,1351.7542937683174,1519.9414775694947,1800.974887402953,2425.47193071146,2706.505340544918,2874.6925243460955,3190.183710250213
2021-08-22,2185.0539293370152,1070.9640081847963,1397.3321668242365,1571.3178245428185,1862.0402300536464,2508.067628620384,2798.790034131212,2972.775691849794,3299.143850489234
2021-08-29,1821.7059520223243,895.0180104110228,1166.4875133612525,1311.2069008720673,1553.02665206817,2090.3852519764782,2332.205003172581,2476.9243906833963,2748.393893633626
2021-09-05,1869.7624269694122,924.1429284952036,1201.1583548365495,1348.834253585724,1595.5942054305833,2143.930648508241,2390.6906003531003,2538.366499102275,2815.3819254436207
