,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2021-09-05,1789.3795640310598,1160.0822512264792,1344.432366344985,1442.708730568445,1606.9242261819727,1971.8349018801468,2136.0503974936746,2234.3267617171346,2418.6768768356405
2021-09-12,1606.7214945981293,976.9717343350704,1161.4543921156192,1259.8014143417697,1424.1349763797384,1789.3080128165202,1953.641574854489,2051.9885970806395,2236.4712548611883
2021-09-19,1715.5673724816404,1091.9084522310673,1274.6068229431303,1372.0026483354245,1534.746802169987,1896.3879427932939,2059.1320966278563,2156.5279220201505,2339.2262927322136
2021-09-26,2138.776317636628,1505.3831004140993,1690.9330942474817,1789.8491093739603,1955.1334336004395,2322.4192016728166,2487.7035258992955,2586.619541025774,2772.1695348591566
2021-10-03,2137.490711593099,1505.7224127934678,1690.796393314503,1789.4586475055498,1954.3189483352685,2320.66247485093,2485.5227756806485,2584.1850298716954,2769.2590103927305
2021-10-10,1992.9285244405683,1356.2169190185543,1542.7390213198032,1642.1732638734325,1808.3235234085942,2177.5335254725424,2343.683785007704,2443.1180275613333,2629.6401298625824
2021-10-17,2285.4859874728213,1645.5979538714405,1833.0505780239941,1932.9808783333665,2099.9600286283357,2471.011946317307,2637.991096612276,2737.9213969216485,2925.374021074202
2021-10-24,2518.692258913443,1881.5968933831236,2068.231416663621,2167.725590425299,2333.97599238138,2703.408525445506,2869.658927401587,2969.1531011632646,3155.787624443762
2021-10-31,2700.1037259506115,2059.1054749996447,2246.8833328565825,2346.987014050308,2514.2558762010117,2885.9515757002114,3053.220437850915,3153.3241190446406,3341.1019769015784
2021-11-07,2402.043155505173,1762.1862284784143,1949.6297400851238,2049.5551825300254,2216.5262155464616,2587.560095463885,2754.531128480321,2854.456570925223,3041.900082531932
2021-11-14,2344.368825399431,1705.8708693137166,1892.9162758525563,1992.6294899588754,2159.2458987268565,2529.4917520720055,2696.1081608399863,2795.8213749463057,2982.866781485145
2021-11-21,2005.4384794541854,1356.9138199006343,1546.8965088669438,1648.1755773665925,1817.4084601697202,2193.4684987386504,2362.701381541778,2463.980450041427,2653.9631390077366
2021-11-28,2198.6643968252697,1554.5589662616007,1743.2470598809366,1843.8359843914732,2011.9156668486962,2385.413126801843,2553.4928092590662,2654.0817337696026,2842.7698273889387
2021-12-05,2490.2232607423375,1838.8295410267997,2029.6527096207546,2131.3798346998947,2301.3614004019623,2679.0851210827127,2849.0666867847804,2950.7938118639204,3141.6169804578753
2021-12-12,2400.3627501700516,1754.831288673146,1943.937132315175,2044.748757817019,2213.200563866218,2587.524936473885,2755.9767425230843,2856.7883680249283,3045.8942116669573
2021-12-19,2273.8348603622385,1623.873805983926,1814.2772810332403,1915.7806690367145,2085.3883798952706,2462.2813408292063,2631.8890516877627,2733.3924396912366,2923.795914740551
2021-12-26,2395.062357638371,1745.9795322297332,1936.125733636898,2037.491970013726,2206.870506517676,2583.254208759066,2752.6327452630157,2853.998981639844,3044.1451830470087
2022-01-02,1941.0348617922475,1281.0457610421513,1474.3869119172418,1577.4563640332276,1749.6808993584873,2132.3888242260077,2304.6133595512674,2407.682811667253,2601.0239625423437
2022-01-09,1893.7495151891278,1235.1919126754092,1428.1137119033551,1530.9596092079648,1702.8105942453503,2084.6884361329053,2256.5394211702906,2359.3853184749005,2552.3071177028464
2022-01-16,2161.195585219835,1500.3520355716173,1693.9434938126005,1797.1463838591376,1969.5938881156583,2352.7972823240116,2525.244786580532,2628.447676627069,2822.0391348680523
2022-01-23,2543.465502276788,1876.7488915213146,2072.060839376969,2176.1809160708012,2350.1609990001884,2736.7700055533874,2910.7500884827746,3014.870165176607,3210.1821130322614
2022-01-30,2429.5912609609036,1763.6423304323916,1958.7293894551606,2062.7295787443327,2236.509335077089,2622.673186844718,2796.4529431774745,2900.453132466647,3095.5401914894155
2022-02-06,2621.869152046801,1959.768551817163,2153.7282579668527,2257.127459610902,2429.9029919394306,2813.8353121541713,2986.6108444827,3090.0100461267493,3283.969752276439
2022-02-13,2634.388277882333,1969.2558489288751,2164.1037171013213,2267.9763946332578,2441.5430844105267,2827.2334713541395,3000.8001611314085,3104.672838663345,3299.5207068357913
2022-02-20,2429.576625670406,1768.268535254831,1961.9960788440226,2065.271515486136,2237.8402419230033,2621.3130094178086,2793.8817358546758,2897.1571724967894,3090.884716085981
2022-02-27,2578.849591513138,1913.3383632172558,2108.2971991325508,2212.2290331575887,2385.894570841068,2771.804612185208,2945.4701498686873,3049.401983893725,3244.36081980902
