,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2020-09-27,3334.0,1150.524230489264,1790.1646695590719,2131.154620781337,2700.933878303259,3967.066121696741,4536.845379218663,4877.8353304409275,5517.475769510736
2020-10-04,2514.0,263.5528341371519,922.8122742354813,1274.2610423103429,1861.5165242179664,3166.4834757820336,3753.738957689657,4105.187725764518,4764.447165862848
2020-10-11,2324.0,78.13584975645517,736.0527138738971,1086.7857596612484,1672.8453010078447,2975.1546989921553,3561.2142403387516,3911.947286126102,4569.864150243545
2020-10-18,2367.0,129.39312474052713,784.8910533835831,1134.3345736202668,1718.2393743119517,3015.760625688048,3599.665426379733,3949.1089466164167,4604.606875259473
2020-10-25,2072.0,-166.68178764066306,489.13103225837403,838.7424198584372,1422.9277195540533,2721.0722804459465,3305.257580141563,3654.868967741625,4310.681787640663
2020-11-01,2455.0,208.86147290356257,866.8587146158034,1217.6346094015228,1803.7657495456442,3106.234250454356,3692.3653905984775,4043.1412853841957,4701.138527096437
2020-11-08,2385.0,146.61184635904146,802.3386473596236,1151.904178603214,1736.0128543377714,3033.9871456622286,3618.095821396786,3967.6613526403758,4623.388153640959
2020-11-15,2469.0,238.0463505025009,891.5952434351339,1239.9997399465606,1822.1683775501463,3115.831622449854,3698.0002600534394,4046.4047565648652,4699.953649497499
2020-11-22,2418.0,194.86890155708397,846.1262096408864,1193.3090707488966,1773.4364091569314,3062.5635908430686,3642.6909292511036,3989.8737903591127,4641.1310984429165
2020-11-29,2326.0,109.987775575873,759.1596381664649,1105.2307559987673,1683.5004201383458,2968.499579861654,3546.7692440012324,3892.840361833534,4542.0122244241265
2020-12-06,2454.0,244.1959741171827,891.5491699305903,1236.650763233544,1813.3003943941403,3094.6996056058597,3671.3492367664558,4016.4508300694088,4663.804025882817
2020-12-13,2033.0,-187.41343598225058,463.047743821194,809.8061918888395,1389.2243547151456,2676.7756452848544,3256.1938081111603,3602.9522561788053,4253.413435982251
2020-12-20,2076.0,-136.77235242146526,511.45040270512345,857.015554860325,1434.4397725379276,2717.5602274620724,3294.984445139675,3640.549597294876,4288.772352421465
2020-12-27,2429.0,211.18311255006938,860.88364391103,1207.2365931085965,1785.9771851024143,3072.0228148975857,3650.7634068914035,3997.116356088969,4646.816887449931
2021-01-03,2015.0,-212.52151818040193,440.02194569583025,787.890451697654,1369.1634726606158,2660.8365273393842,3242.109548302346,3589.978054304169,4242.5215181804015
2021-01-10,1683.0,-547.9190192740198,105.61972887401748,454.01881723831457,1036.1784180651716,2329.8215819348284,2911.9811827616854,3260.380271125982,3913.91901927402
2021-01-17,1939.0,-290.8120800361853,362.402394717112,710.628614134574,1292.4993585308434,2585.5006414691566,3167.371385865426,3515.5976052828873,4168.812080036185
2021-01-24,1952.0,-270.2315414702939,380.7622450187323,727.80462373967,1307.6972222384663,2596.3027777615334,3176.19537626033,3523.2377549812672,4174.231541470293
2021-01-31,2128.0,-89.77780278961245,559.9112788774082,906.2581242855019,1484.9885171147366,2771.0114828852634,3349.741875714498,3696.088721122591,4345.777802789613
2021-02-07,1982.0,-230.4237368529475,417.69689274588086,763.2076021601258,1340.5408484046748,2623.4591515953252,3200.792397839874,3546.303107254119,4194.4237368529475
2021-02-14,2141.0,-66.51718325437832,580.1660912146463,924.910551927803,1500.9634301896053,2781.0365698103947,3357.0894480721972,3701.8339087853533,4348.517183254378
2021-02-21,2210.0,9.339338351007427,654.0140224104653,997.6877110086198,1571.9513760150926,2848.0486239849074,3422.3122889913802,3765.985977589534,4410.660661648993
2021-02-28,2567.0,361.2123141201173,1007.388939293812,1351.8633071423703,1927.4648720698615,3206.5351279301385,3782.13669285763,4126.611060706187,4772.787685879883
2021-03-07,2412.0,211.1146388287625,855.855147708937,1199.5639272754458,1773.8862277514477,3050.1137722485523,3624.436072724554,3968.1448522910623,4612.8853611712375
2021-03-14,2059.0,-146.6724305394555,499.470431046117,843.9267996507822,1419.4982886309185,2698.5017113690815,3274.0732003492176,3618.5295689538825,4264.6724305394555
2021-03-21,1805.0,-399.6848059164299,246.16873501061787,590.4708678427894,1165.7846356096768,2444.215364390323,3019.5291321572104,3363.8312649893815,4009.68480591643
