,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2021-09-05,2075.6501,980.6675,1406.8511,1634.1116,1813.5826,2337.7178,2700.7676,2963.1807,4146.079
2021-09-12,2088.1934,1040.365,1436.6796,1664.8379,1839.6487,2336.7383,2683.9258,2946.4065,4079.734
2021-09-19,2087.851,1056.0598,1439.135,1670.016,1845.0026,2330.6997,2674.1277,2941.5098,4058.0598
2021-09-26,2065.0603,1022.843,1404.2051,1641.0474,1820.6526,2309.468,2658.0195,2935.7646,4064.827
2021-10-03,2061.551,1009.8185,1417.415,1632.1384,1806.3419,2316.76,2667.7014,2948.4924,4095.0469
2021-10-10,2059.88,1013.1666,1411.2864,1632.9187,1810.2582,2309.5017,2656.686,2946.0098,4078.6284
2021-10-17,2055.2905,1017.05664,1405.8623,1631.3787,1810.6813,2299.9,2644.751,2940.0464,4059.277
2021-10-24,2035.0757,1093.1698,1434.2129,1647.3306,1811.2421,2258.9092,2568.307,2843.9492,3865.1274
2021-10-31,2021.4028,1136.0938,1452.0337,1655.3403,1811.316,2231.4897,2523.195,2788.671,3750.2612
2021-11-07,2007.1257,1120.4917,1451.6055,1638.5032,1789.928,2224.3235,2512.851,2781.2551,3749.12
2021-11-14,1989.4496,1146.8452,1451.638,1637.9727,1784.3472,2194.552,2466.643,2730.3386,3649.9326
2021-11-21,1974.4285,1154.4623,1445.1821,1631.4629,1776.1423,2172.7146,2437.7148,2701.0984,3595.5305
2021-11-28,1950.8092,1152.4806,1429.3492,1615.5293,1757.3833,2144.235,2401.2988,2663.9126,3536.772
2021-12-05,1939.0874,1144.8896,1436.0653,1604.7947,1739.8309,2138.3438,2391.9517,2654.544,3528.372
2021-12-12,1945.3265,1260.2416,1503.8337,1658.6216,1774.7087,2115.9443,2329.2288,2561.9443,3311.6274
2021-12-19,1946.3535,1352.4004,1557.1499,1698.4039,1798.7722,2093.9348,2276.4204,2483.775,3134.4465
2021-12-26,1937.2683,1357.6907,1553.4883,1694.0146,1793.9783,2080.5583,2259.5623,2466.6165,3102.3416
2022-01-02,1937.9695,1347.07,1563.3322,1690.2346,1786.0839,2089.8552,2271.713,2481.1602,3131.9067
2022-01-09,2039.894,1293.5254,1553.9045,1721.8164,1884.0177,2195.7703,2444.1577,2466.4407,3263.6284
2022-01-16,2047.6641,1262.6619,1534.0474,1720.9587,1881.8805,2213.4475,2467.7773,2496.2993,3324.6606
2022-01-23,2041.5598,1260.4287,1530.9412,1721.0172,1875.6498,2207.47,2456.2898,2489.159,3308.6794
2022-01-30,2040.0016,1254.1609,1528.2173,1719.8704,1872.0913,2207.9119,2451.9866,2488.6348,3303.849
2022-02-06,2034.2415,1239.7368,1530.4521,1709.9172,1858.4768,2210.006,2449.6016,2486.078,3307.7773
2022-02-13,2035.0477,1230.8557,1524.004,1707.7002,1858.9385,2211.157,2445.5583,2487.5898,3302.44
2022-02-20,2043.2576,1205.3969,1509.0393,1701.5006,1860.2609,2226.2542,2463.145,2509.8801,3339.8047
2022-02-27,2040.7266,1204.3145,1505.9707,1699.6986,1858.2246,2223.2285,2457.9866,2507.5552,3330.3828
