,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.5,q_0.75,q_0.9,q_0.95,q_0.99
2022-04-03,-23.910877060952288,-5813.239402182897,-4117.279148165385,-3213.1688353266036,-1702.440134312993,-23.910877060952288,1654.618323570206,3165.3470245838166,4069.457763744536,5765.418017762048
2022-04-10,-23.974053724810165,-5828.598983962389,-4128.15771025617,-3221.6585819348343,-1706.938274963772,-23.974053724810165,1658.9901107436674,3173.7104177147294,4080.209973484419,5780.651247190638
2022-04-17,224.62889820112372,-5588.2455788738325,-3885.3877431941482,-2977.5999263187623,-1460.7269925261444,224.62889820112372,1909.984842435369,3426.857776227987,4334.645165047556,6037.50300072724
2022-04-24,225.20489394664764,-5602.5750160217285,-3895.350694656372,-2985.235118865967,-1464.4726037979126,225.20489394664764,1914.8824453353882,3435.6449604034424,4345.760107040405,6052.984428405762
2022-05-01,225.6755324191997,-5614.28340877328,-3903.4912899554333,-2991.4737332758505,-1467.533093014053,225.6755324191997,1918.8842116087396,3442.824851870537,4354.841978499822,6065.634097317669
2022-05-08,240.19695789834788,-5606.782625414605,-3893.933727796688,-2980.820139785146,-1455.047360617061,240.19695789834788,1935.4412225928418,3461.2140017609263,4374.328020339788,6087.176917957705
2022-05-15,240.7253245316032,-5619.115990853972,-3902.499301115672,-2987.377116673523,-1458.248060916861,240.7253245316032,1939.6986560407613,3468.827711797423,4383.950327754021,6100.567017492321
2022-05-22,241.33708251751787,-5633.395913782208,-3912.4167666633007,-2994.968971878702,-1461.9539231831027,241.33708251751787,1944.6280341417557,3477.643082837355,4395.091310233015,6116.0704573519215
2022-05-29,241.79436055447803,-5644.069898061796,-3919.8298929021994,-3000.643746421971,-1464.7239882437461,241.79436055447803,1948.3126551738571,3484.2324133520824,4403.41899326307,6127.658998422667
2022-06-05,241.92557935198963,-5647.132864722378,-3921.957135919022,-3002.272158529116,-1465.518875767107,241.92557935198963,1949.369980262839,3486.1232630248483,4405.808674080731,6130.984402884087
2022-06-12,242.25269382819533,-5654.768514140086,-3927.260126027194,-3006.3316163474865,-1467.5004456395454,242.25269382819533,1952.0057790143924,3490.8369497223334,4411.76589365439,6139.2742817672815
2022-06-19,242.93433536467776,-5670.679689522782,-3938.3105031527,-3014.7907194012428,-1471.6296433080913,242.93433536467776,1957.498259603168,3500.6593356963194,4424.179554922009,6156.54874129209
2022-06-26,243.37797668401723,-5681.035359565202,-3945.502558837066,-3020.296263647509,-1474.3171008696427,243.37797668401723,1961.0729997039914,3507.052162481858,4432.2588939409,6167.791694669036
2022-07-03,93.79010234940213,-5831.177329168192,-4095.482256414645,-3170.1892364367245,-1624.0655248667629,93.79010234940213,1811.6457841043516,3357.769495674313,4283.062515652234,6018.757588405781
2022-07-10,243.3146251308998,-5679.5565798570005,-3944.4755402122228,-3019.510077231697,-1473.933334518224,243.3146251308998,1960.562530260533,3506.139272974006,4431.105172110456,6166.186211755234
2022-07-17,278.1718077710602,-5648.449963724348,-3912.270274794896,-2986.7189076153436,-1440.1635092979006,278.1718077710602,1996.507070286009,3543.0624686034516,4468.613835783004,6204.793524712456
2022-07-24,278.1613661369919,-5648.237939910551,-3912.123421327203,-2986.6067962330003,-1440.109450403568,278.1613661369919,1996.4321281255875,3542.9294739550196,4468.4460990492225,6204.560617632571
2022-07-31,278.5379519376592,-5655.88474664184,-3917.4198079224725,-2990.650182010319,-1442.059127233102,278.5379519376592,1999.1349764826014,3547.7260312598182,4474.495657171972,6212.960595891339
2022-08-07,325.7532750442624,-5614.648738348693,-3874.4322237748847,-2946.728620129719,-1396.577295346741,325.7532750442624,2048.083954796979,3598.235279579957,4525.938445778269,6266.154960352078
2022-08-14,175.87306701034046,-5768.589397989506,-4027.183314556638,-3098.845774604243,-1547.6349142495721,175.87306701034046,1899.3811303476057,3450.5921001387474,4378.929640091142,6120.33572352401
2022-08-21,326.18511355441547,-5622.091860895572,-3879.5684086343517,-2950.6349842237387,-1398.428683819978,326.18511355441547,2050.799020435499,3603.0053208392596,4531.938307223112,6274.461759484332
2022-08-28,326.3255974302044,-5624.513226009551,-3881.239290547061,-2951.9057860518947,-1399.0309696796135,326.3255974302044,2051.6822740938755,3604.5570904661563,4533.890156745911,6277.1640922084
2022-09-04,327.19723517203636,-5639.536681251279,-3891.6063432004944,-2959.790526059167,-1402.7678760233623,327.19723517203636,2057.162456213914,3614.185106249719,4546.000484005131,6293.930822055915
2022-09-11,327.58895898965295,-5646.288391231979,-3896.2654134173254,-2963.334017016857,-1404.4472838195097,327.58895898965295,2059.6253117768038,3618.512044974151,4551.443001462667,6301.465979277321
2022-09-18,327.8013091878249,-5649.948436620908,-3898.7910563303876,-2965.254913764122,-1405.3576767093098,327.8013091878249,2060.960405134238,3620.8576421890507,4554.393344558202,6305.550724848723
2022-09-25,327.5101986971307,-5644.93088722229,-3895.3286571705594,-2962.621559995286,-1404.109620794337,327.5101986971307,2059.130128140145,3617.6420673410944,4550.34872471018,6299.950954761911
