,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.5,q_0.75,q_0.9,q_0.95,q_0.99
2022-07-31,2164.3370000633377,1750.0280228141646,1871.398180051522,1936.1000590119593,2044.2143872781999,2164.3370000633377,2284.459612848475,2392.5739411147156,2457.2758200751528,2578.646086564148
2022-08-07,2135.6212259415993,1720.8948151367274,1842.3872578640778,1907.1543266632054,2015.37758461948,2135.6212259415993,2255.8648672637187,2364.0881252199933,2428.855194019121,2550.3477461081848
2022-08-14,2050.7906456602714,1635.7807381645039,1757.3562301131835,1822.1676815110523,1930.4648087664982,2050.7906456602714,2171.116482554044,2279.4137192459607,2344.225061207359,2465.8006625925086
2022-08-21,2088.9811560589333,1673.7049585010693,1795.3584590580151,1860.2113870537798,1968.5781123949132,2088.9811560589333,2209.3841997229533,2317.750925064087,2382.6038530598516,2504.2574631234875
2022-08-28,2079.0871704605233,1663.6321186038838,1785.3380138120608,1850.2188731581616,1958.6322707015197,2079.0871704605233,2199.542070219527,2307.955467762885,2372.8363271089856,2494.542331871016
2022-09-04,3118.130270929172,2701.5654006831605,2823.5964904155194,2888.6506509251635,2997.3536279859213,3118.130270929172,3238.9069138724226,3347.6098909331804,3412.6640514428245,3534.695141175184
2022-09-11,1954.0952733176973,1537.0317974013833,1659.2088740025467,1724.3410279848033,1833.1739253859664,1954.0952733176973,2075.01651127144,2183.8496286285795,2248.9816726328477,2371.1588592119997
2022-09-18,2086.6518493523968,1669.3180239345784,1791.5742983405407,1856.7485623344398,1965.6522276554354,2086.6518493523968,2207.651471049358,2316.5551363703535,2381.7294003642523,2503.985784819493
2022-09-25,2184.13360194957,1767.17039815923,1889.3181004422777,1954.4344851311216,2063.2414363800212,2184.13360194957,2305.0257675191187,2413.8327187680184,2478.9491034568623,2601.096915691457
2022-10-02,1944.8012881521452,1527.4939366781107,1649.7424556481637,1714.9126952967401,1823.8092321319095,1944.8012881521452,2065.7932341300834,2174.6899910498473,2239.8601206561266,2362.108749668477
2022-10-09,2103.933952784236,1686.864275537714,1809.0431687937507,1874.1761812484717,1983.0109168487259,2103.933952784236,2224.856988719747,2333.691724320001,2398.824736774722,2521.003740010382
2022-10-16,2289.4992451156886,1871.8664129206113,1994.2103580321584,2059.4313001717837,2168.4129628624232,2289.4992451156886,2410.585527368954,2519.5671900595935,2584.788132199219,2707.1320773107664
2022-10-23,2385.673883922928,1968.4332023365228,2090.662268423136,2155.821969132044,2264.70129976911,2385.673883922928,2506.646468076746,2615.5257987138116,2680.6854994227197,2802.914565509333
2022-10-30,2273.0375336999696,1855.9578156958025,1978.1397281150025,2043.2742914408448,2152.1116184865436,2273.0375336999696,2393.9634489133955,2502.8007759590946,2567.9353392849366,2690.117251704137
2022-11-06,2282.099042738127,1864.9069596227275,1987.121788972641,2052.27390014878,2161.140548971184,2282.099042738127,2403.05753650507,2511.924185327475,2577.0762965036133,2699.291125853527
2022-11-13,2147.454123246768,1730.2002173228698,1852.4330796328459,1917.5948627448279,2026.4776729966,2147.454123246768,2268.4305734969366,2377.313383748709,2442.475166860691,2564.708139198871
2022-11-20,2345.180530430358,1928.4241338497327,2050.5113304912306,2115.595401312098,2224.3483573419076,2345.180530430358,2466.0127035188084,2574.7656595486183,2639.8497303694853,2761.9369270109837
2022-11-27,2152.4308784310933,1735.7716437885995,1857.8302995259644,1922.8992139061943,2031.626844112013,2152.4308784310933,2273.234912750174,2381.9625429559924,2447.0314573362225,2569.0902229449784
2022-12-04,3152.7592360131594,2735.044754268685,2857.4126183042717,2922.6463115020674,3031.6492807159616,3152.7592360131594,3273.869191310357,3382.8721605242513,3448.1058537220465,3570.4737177576335
2022-12-11,2079.0423372896707,1661.5246018803703,1783.8347519825145,1849.0377368650786,1957.9893936761996,2079.0423372896707,2200.095280903142,2309.0469377142626,2374.2499225968268,2496.5601827967457
2022-12-18,2302.558992115592,1885.2480872536478,2007.4977249809606,2072.6683923281157,2181.56604779201,2302.558992115592,2423.5519364391744,2532.4495919030687,2597.620259250224,2719.8698969775364
2022-12-25,2033.2567513758138,1616.0755793221535,1738.287134535851,1803.4376689407134,1912.3013892096858,2033.2567513758138,2154.2121135419416,2263.0759438199384,2328.2263682157763,2450.438033438498
2023-01-01,2094.92735708478,1677.3636905881294,1799.6872960185428,1864.8974538754267,1973.8610964482089,2094.92735708478,2215.993617721351,2324.957260294133,2390.1674181510166,2512.4911336913165
2023-01-08,2213.7106810035702,1796.0442473688124,1918.397958021164,1983.624164834976,2092.614624591827,2213.7106810035702,2334.806737415314,2443.797197172165,2509.023403985977,2631.377224775314
2023-01-15,2314.47479315393,1896.9503473494633,2019.262541081326,2084.46655672005,2193.4199358847036,2314.47479315393,2435.5296504231565,2544.4830295878105,2609.687045226534,2731.9992389583967
2023-01-22,2409.017643843378,1990.9731041746481,2113.437657420124,2178.7228951496736,2287.81199327537,2409.017643843378,2530.2232944113866,2639.312392537083,2704.597630266632,2827.0621835121087
