,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2020-03-01,1603.1826,1151.6599,1273.6157,1349.6162,1501.2032,1705.1621,1857.8396,1882.0815,1966.619
2020-03-08,1600.3937,1137.6616,1257.6796,1336.4287,1496.2617,1704.5256,1849.5531,1876.489,1966.2498
2020-03-15,1600.8385,1128.7125,1243.4641,1325.4148,1494.3921,1707.2849,1840.5828,1870.7128,1963.6138
2020-03-22,1598.7773,1088.8212,1202.1963,1292.8365,1483.2141,1714.3407,1839.1935,1874.5806,1974.313
2020-03-29,1557.7019,1036.5488,1183.9966,1271.591,1454.6938,1660.7101,1750.79,1806.1248,1955.4316
2020-04-05,1414.563,951.556,1182.405,1215.449,1284.1774,1544.9486,1706.4347,1741.618,1997.8479
2020-04-12,1395.0063,922.0165,1154.4219,1187.4666,1258.5171,1531.4956,1676.5879,1710.0911,1977.2191
2020-04-19,1378.1337,882.2596,1115.8604,1150.9324,1231.4452,1524.8221,1656.4004,1693.3624,1974.6354
2020-04-26,1370.6697,868.4818,1092.0356,1130.6448,1220.8933,1520.446,1626.7354,1665.5944,1946.5652
2020-05-03,1422.5839,932.3124,1185.0398,1215.9725,1285.2166,1559.9512,1732.6012,1761.1184,2034.1829
2020-05-10,1413.8083,909.2158,1161.3523,1194.3994,1270.4504,1557.1664,1720.4573,1751.9104,2038.5759
2020-05-17,1404.103,893.25946,1137.404,1172.4055,1255.5305,1552.6755,1699.7869,1735.075,2028.9087
2020-05-24,1385.0239,867.23846,1099.5546,1135.7703,1228.4926,1541.5552,1669.1436,1710.42,2007.9631
2020-05-31,1362.951,840.35736,1055.782,1092.6614,1198.5538,1527.3483,1630.8232,1679.5825,1974.296
2020-06-07,1407.0657,912.14874,1152.8262,1178.8977,1256.959,1557.1722,1737.1625,1776.2488,2060.2007
2020-06-14,1386.7487,892.54974,1113.8673,1139.7883,1233.4226,1540.0747,1705.7639,1754.4808,2037.6438
2020-06-21,1367.7161,862.39996,1064.2756,1093.3602,1211.1603,1524.272,1676.0076,1733.5272,2010.7053
2020-06-28,1357.1636,839.62616,1039.899,1072.791,1189.8328,1524.4944,1651.2098,1711.7152,1997.2295
2020-07-05,1416.259,848.4313,1112.5233,1141.4841,1239.645,1592.8732,1811.4484,1864.5171,2183.9307
2020-07-12,1410.5333,797.3419,1072.9214,1107.7606,1219.366,1601.7007,1817.8125,1876.7505,2227.48
2020-07-19,1393.8296,727.7599,1007.549,1049.7085,1184.5295,1603.1295,1811.9579,1882.6843,2260.665
2020-07-26,1373.7277,640.278,923.2721,975.0778,1140.4795,1606.9758,1805.5026,1891.3889,2298.9424
2020-08-02,1440.0006,456.54614,896.4518,956.45496,1144.5577,1735.4435,2137.0825,2232.9268,2778.5625
2020-08-09,1437.7448,312.0902,798.1034,874.70026,1100.7312,1774.7583,2201.7407,2313.278,2946.7827
2020-08-16,1423.6296,222.25427,714.7459,803.4599,1060.971,1786.2882,2198.711,2325.7705,3002.2456
2020-08-23,1396.9971,77.05505,581.7521,685.84894,991.43634,1802.5579,2200.4927,2353.5798,3086.8984
